Name,Est Dia in M(min),Est Dia in M(max),Close Approach Date,Relative Velocity km per sec,Miss Dist.(kilometers),Orbiting Body,Hazardous
2397847,461.9074603,1032.856481,1995-12-15,16.1934694,40229988,Earth,FALSE
3455137,265.8,594.3468684,1995-12-15,11.31412764,44395812,Earth,TRUE
3102683,101.0543415,225.9643771,1995-12-22,12.11192691,55947568,Earth,TRUE
2207970,637.6097899,1425.738833,1996-01-08,2.429415061,52853080,Earth,FALSE
2259221,384.1978911,859.0926012,1996-01-08,25.5086959,32755016,Earth,FALSE
3400310,50.64714588,113.2504611,1996-01-15,24.87798356,71482464,Earth,FALSE
3439813,384.1978911,859.0926012,1996-01-15,21.15881627,68850944,Earth,FALSE
3644343,699.1252322,1563.291544,1996-01-15,33.92843828,39078284,Earth,FALSE
2476904,384.1978911,859.0926012,1996-01-15,21.15876284,68850736,Earth,FALSE
3769883,96.50614696,215.7943048,1996-01-15,19.41326482,68897200,Earth,FALSE
2496327,699.1252322,1563.291544,1996-01-15,33.9284383,39078284,Earth,FALSE
2267223,637.6097899,1425.738833,1996-01-22,24.30225996,55711696,Earth,FALSE
3670292,278.3267681,622.3575734,1996-01-22,16.13668117,43169132,Earth,FALSE
3732504,84.05334021,187.9489824,1996-01-22,7.480711704,68938208,Earth,FALSE
3744790,146.0679643,326.6178974,1996-01-22,23.58895686,43545180,Earth,TRUE
2443103,667.6594135,1492.931834,1996-02-08,11.52544958,16186273,Earth,TRUE
3367904,55.53349116,124.1766613,1996-02-08,10.44659924,1298905.875,Earth,FALSE
3548666,8.027031673,17.94898848,1996-02-08,6.631819686,41985840,Earth,FALSE
3560922,265.8,594.3468684,1996-02-08,12.94382846,35395452,Earth,FALSE
3723951,211.1324448,472.1064988,1996-02-08,32.34999063,55525012,Earth,TRUE
3741556,146.0679643,326.6178974,1996-02-08,11.26916468,26756424,Earth,TRUE
2424965,461.9074603,1032.856481,1996-02-15,31.39153504,62973468,Earth,FALSE
3008376,201.6299194,450.8582062,1996-02-15,3.696657853,40152700,Earth,FALSE
3555410,192.5550782,430.5662442,1996-02-15,20.02348492,26938286,Earth,FALSE
3699893,11.08038821,24.77650126,1996-02-15,2.683853974,17471656,Earth,FALSE
3174193,483.6764882,1081.533507,1996-02-22,40.16551123,60259216,Earth,FALSE
3402642,19.25550782,43.05662442,1996-02-22,9.010488107,24198584,Earth,FALSE
3552578,53.03407233,118.5877909,1996-02-22,6.368218127,26466610,Earth,FALSE
3742127,305.1792326,682.4015094,1996-02-22,28.12697001,47811536,Earth,FALSE
2483563,461.9074603,1032.856481,1996-02-22,40.16550039,60259164,Earth,FALSE
2162422,201.6299194,450.8582062,1996-03-08,17.03071425,5193227,Earth,TRUE
3147579,50.64714588,113.2504611,1996-03-08,13.37163703,49181324,Earth,FALSE
3297366,133.2155667,297.8790628,1996-03-08,16.78970428,63561092,Earth,FALSE
2481127,133.2155667,297.8790628,1996-03-08,16.78970245,63561064,Earth,FALSE
3613391,29.14439045,65.16883822,1996-03-22,8.974451416,29181276,Earth,FALSE
2204131,278.3267681,622.3575734,1996-04-08,23.40663052,19376870,Earth,FALSE
3514891,101.0543415,225.9643771,1996-04-08,19.53134604,50899832,Earth,FALSE
3714553,221.0828104,494.3561926,1996-04-08,11.66650637,54915028,Earth,TRUE
3716433,152.9519353,342.0109247,1996-04-08,9.772334952,53934032,Earth,FALSE
3728860,69.91252322,156.3291544,1996-04-08,21.96604402,62555340,Earth,FALSE
2041429,201.6299194,450.8582062,1996-04-15,17.82239398,9380801,Earth,TRUE
2277810,116.0259082,259.4418179,1996-04-15,9.108857681,44981060,Earth,FALSE
2401954,461.9074603,1032.856481,1996-04-15,11.77424794,56441720,Earth,TRUE
3092296,36.69061375,82.04270649,1996-04-15,11.19234352,32090024,Earth,FALSE
3749034,26.58,59.43468684,1996-04-15,6.296119131,7555205,Earth,FALSE
2280491,421.2646106,941.9763057,1996-04-22,17.80588113,9538428,Earth,FALSE
3714452,201.6299194,450.8582062,1996-04-22,23.76774875,26749868,Earth,TRUE
2318050,483.6764882,1081.533507,1996-05-08,4.952970789,69442016,Earth,FALSE
3346460,139.4938229,311.9176705,1996-05-08,14.43852096,55876996,Earth,TRUE
3429818,58.15070396,130.028927,1996-05-08,8.780697047,36420424,Earth,FALSE
2136818,441.1182,986.3702813,1996-05-15,14.8303269,28906368,Earth,FALSE
2390522,201.6299194,450.8582062,1996-05-15,12.42774975,20916226,Earth,FALSE
3120863,14.60679643,32.66178974,1996-05-15,18.00810222,52719728,Earth,FALSE
3741442,4.836764882,10.81533507,1996-05-15,10.89735211,22324196,Earth,FALSE
2433953,183.8886721,411.187571,1996-05-22,11.91230567,26335462,Earth,TRUE
2461353,183.8886721,411.187571,1996-06-08,16.17399574,30691200,Earth,FALSE
3367126,265.8,594.3468684,1996-06-08,13.81495661,33047286,Earth,FALSE
3461189,581.5070396,1300.28927,1996-06-08,21.94504777,28635060,Earth,TRUE
3551168,6.089126221,13.61570015,1996-06-08,1.696036734,12866110,Earth,FALSE
3712623,253.8370294,567.5968529,1996-06-08,28.30126915,65317764,Earth,FALSE
2489453,265.8,594.3468684,1996-06-08,13.81495655,33047286,Earth,FALSE
